"title","domain","difficulty","blurb","angles","seed_context","tags"
"Crusades’ Legacy","History","Advanced","The medieval Crusades left lasting religious and cultural consequences.","[""How did Crusades alter Europe and Middle East?"",""Why do they remain symbolic?""]","From the 11th–13th centuries, Christian crusaders fought for the Holy Land.\nTheir legacy shaped East-West relations.","crusades, religion, holy land"
"Napoleonic Wars","History","Advanced","The series of wars led by Napoleon Bonaparte that reshaped Europe.","[""Why did France dominate early?"",""How did coalitions finally defeat Napoleon?""]","From 1803–1815, Napoleon built a vast empire.\nHis defeat at Waterloo ended French dominance.","napoleon, france, europe"
"Iranian Revolution","History","Advanced","The 1979 revolution replaced Iran’s monarchy with an Islamic republic.","[""Why did the Shah lose support?"",""How did religion shape politics?""]","Protests and clerical leadership toppled the Shah.\nAyatollah Khomeini established an Islamic republic.","iran, revolution, islam"
"Battle of Verdun","History","Advanced","One of the longest and bloodiest battles of WWI, symbolizing French resilience.","[""Why did Verdun drag on?"",""What does 'They shall not pass' mean?""]","Verdun lasted 10 months in 1916.\nIt became a symbol of French determination and sacrifice.","wwi, france, battle"
"Chinese Cultural Revolution","History","Advanced","Mao Zedong’s radical campaign to enforce communist ideology in the 1960s–70s.","[""Why did Mao target intellectuals?"",""What damage did it cause?""]","Millions were persecuted during the Cultural Revolution.\nIt destabilized China but left lasting effects.","china, mao, revolution"
"Collapse of the Ottoman Empire","History","Advanced","The disintegration of the Ottoman Empire after WWI reshaped the Middle East.","[""Why did the empire weaken?"",""How did new borders cause conflict?""]","The Ottomans allied with Germany in WWI and lost.\nTheir lands were divided by European powers.","ottoman, empire, middle east"
"Battle of Waterloo","History","Advanced","The 1815 battle that ended Napoleon’s rule and reshaped Europe.","[""Why was Waterloo decisive?"",""How did it symbolize balance of power?""]","British and Prussian forces defeated Napoleon.\nHis final defeat restored monarchies in Europe.","napoleon, waterloo, europe"
"Spanish Inquisition","History","Advanced","A church court system used to enforce Catholic orthodoxy in Spain.","[""Why did Spain use the Inquisition?"",""How has it been remembered?""]","Established in 1478, the Inquisition targeted heresy.\nIt lasted centuries and became infamous for cruelty.","spain, church, inquisition"
"Great Fire of Rome","History","Advanced","The 64 CE fire that destroyed much of Rome, tied to Nero’s reign.","[""Why is Nero blamed?"",""How did the fire change the city?""]","The fire lasted days and devastated neighborhoods.\nNero’s role remains debated by historians.","rome, fire, nero"
"Fall of the Soviet Union","History","Advanced","The 1991 collapse of the USSR marked the end of the Cold War and superpower rivalry.","[""Why did the USSR collapse?"",""How did reforms hasten decline?""]","Gorbachev’s reforms, economic stagnation, and nationalism caused collapse.\nIt reshaped geopolitics globally.","ussr, collapse, cold war"
"English Civil War","History","Advanced","The 17th-century conflict between monarchy and Parliament over authority.","[""Why did monarchy clash with Parliament?"",""How did the war alter governance?""]","From 1642–1651, civil wars in England ended in Charles I’s execution.\nThey paved the way for constitutional monarchy.","england, civil war, parliament"
"Battle of Midway","History","Advanced","A pivotal WWII naval battle where U.S. forces defeated Japan in the Pacific.","[""Why was Midway a turning point?"",""How did intelligence play a role?""]","Fought in June 1942, Midway crippled Japan’s navy.\nIt shifted momentum in the Pacific War.","wwii, pacific, midway"
"Holocaust","History","Advanced","The systematic genocide of Jews and other groups by Nazi Germany during WWII.","[""Why did the Holocaust occur?"",""How should it be remembered?""]","From 1941–1945, Nazis murdered six million Jews and millions more.\nIt remains one of history’s greatest atrocities.","holocaust, genocide, wwii"
"World War I","Military History","Beginner","A global conflict (1914–1918) mainly in Europe, known for trench warfare and high casualties.","[""Why was it called the Great War?"",""How did alliances escalate it?""]","Sparked by the assassination of Archduke Franz Ferdinand.\nIt involved major powers and ended with the Treaty of Versailles.","wwi, europe, trenches"
"World War II","Military History","Beginner","The largest global war (1939–1945), involving most nations and reshaping the world.","[""Why did WWII span the globe?"",""How did it end?""]","Axis powers led by Germany, Italy, and Japan fought the Allies.\nIt ended with the atomic bomb and the United Nations’ creation.","wwii, global, allies"
"Cold War","Military History","Beginner","A tense rivalry (1947–1991) between the U.S. and Soviet Union without direct fighting.","[""Why was it 'cold'?"",""How did nuclear weapons affect it?""]","The Cold War saw arms races, space race, and proxy wars.\nIt ended with the USSR’s collapse in 1991.","cold war, usa, soviet"
"Napoleon Bonaparte","Military History","Beginner","A French general who rose to emperor and led Europe’s armies in the early 1800s.","[""Why did Napoleon win so often?"",""What caused his downfall?""]","Napoleon reorganized armies and spread revolutionary ideas.\nHe was defeated at Waterloo in 1815.","napoleon, france, empire"
"Military Uniforms","Military History","Beginner","Standardized clothing that identifies soldiers and builds unity.","[""Why do uniforms matter?"",""How have they changed?""]","Uniforms date back centuries.\nThey signal rank, allegiance, and provide practical protection.","uniforms, soldiers, identity"
"Knights","Military History","Beginner","Medieval European warriors who served nobles and fought in armor.","[""Why were knights symbols of chivalry?"",""How did castles shape their role?""]","Knights trained from youth.\nThey defended lords, fought in wars, and followed codes of honor.","knights, medieval, europe"
"Gunpowder","Military History","Beginner","An explosive invented in China that transformed warfare worldwide.","[""Why did gunpowder end castles?"",""How did it change armies?""]","First used in the 9th century, gunpowder spread to Europe.\nIt led to firearms, cannons, and new strategies.","gunpowder, weapons, technology"
"Alexander the Great","Military History","Beginner","A Macedonian king who created one of history’s largest empires.","[""Why was Alexander so successful?"",""How did he inspire future generals?""]","From 336–323 BCE, Alexander conquered Persia, Egypt, and beyond.\nHe spread Greek culture across Asia.","alexander, greece, empire"
"Roman Legions","Military History","Beginner","The professional soldiers of Rome who conquered and defended its empire.","[""Why were legions effective?"",""How did they expand Rome?""]","Roman legions trained in discipline and tactics.\nThey built roads, forts, and secured vast territories.","rome, legions, empire"
"Medieval Castles","Military History","Beginner","Fortified stone structures used for defense and residence in Europe.","[""Why were castles important?"",""How did gunpowder end their dominance?""]","Castles appeared around the 9th century.\nThey were symbols of power and strongholds in war.","castles, medieval, defense"
"Military Flags","Military History","Beginner","Banners used to identify armies and inspire troops in battle.","[""Why are flags symbols of unity?"",""How do they signal identity?""]","From Roman standards to modern flags, banners inspire pride.\nThey rally soldiers and mark allegiance.","flags, symbols, morale"
